City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
84,Kharp,RU,66.8,65.81,14.02,94,93,3.02,overcast clouds
85,San Vicente De Canete,PE,-13.08,-76.38,68.38,62,92,6.93,overcast clouds
86,Buin,CL,-33.73,-70.75,82.0,49,0,2.24,clear sky
87,Hermanus,ZA,-34.42,19.23,64.0,52,1,5.01,clear sky
88,Cherskiy,RU,68.75,161.3,2.97,94,100,4.72,light snow
89,Vila Velha,BR,-20.33,-40.29,86.0,62,75,12.75,broken clouds
90,Sao Joao Da Barra,BR,-21.64,-41.05,80.6,78,90,4.92,light rain
91,Saint-Philippe,RE,-21.36,55.77,77.0,69,40,16.11,scattered clouds
92,Zhigansk,RU,66.77,123.37,-13.67,88,69,15.93,broken clouds
93,Beringovskiy,RU,63.05,179.32,33.33,96,100,37.83,overcast clouds
94,Pisco,PE,-13.7,-76.22,66.0,82,75,3.36,broken clouds
95,Katsuura,JP,35.13,140.3,55.4,58,75,13.87,broken clouds
96,Suez,EG,29.97,32.53,75.88,42,23,4.76,few clouds
97,Klaksvik,FO,62.23,-6.59,50.0,100,80,10.29,broken clouds
98,Jamestown,US,42.1,-79.24,55.4,62,1,6.93,clear sky
99,Gohana,IN,29.13,76.7,69.31,22,0,1.99,clear sky
100,Krasnoselkup,RU,65.7,82.47,8.06,95,95,9.6,overcast clouds
101,Georgetown,MY,5.41,100.34,80.6,88,20,2.64,few clouds
102,Carnarvon,AU,-24.87,113.63,68.0,72,90,20.8,overcast clouds
103,Severo-Kurilsk,RU,50.68,156.12,36.01,93,100,19.69,overcast clouds
104,Bitam,GA,2.08,11.5,82.63,59,92,1.32,light rain
105,Diamantina,BR,-18.25,-43.6,80.22,50,38,5.35,scattered clouds
106,Sorland,NO,67.67,12.69,41.0,56,75,11.41,broken clouds
107,Buchanan,LR,5.88,-10.05,82.9,72,77,7.25,light rain
108,Narsaq,GL,60.92,-46.05,30.2,80,75,1.97,shower rain
109,Kutum,SD,14.2,24.67,81.46,20,3,3.71,clear sky
110,Laguna,US,38.42,-121.42,37.0,69,1,5.17,clear sky
111,Pacific Grove,US,36.62,-121.92,39.2,69,1,5.82,clear sky
112,Paamiut,GL,61.99,-49.67,21.09,88,100,31.32,overcast clouds
113,Arraial Do Cabo,BR,-22.97,-42.03,80.6,78,40,5.82,scattered clouds
114,Ribeira Grande,PT,38.52,-28.7,68.0,72,75,24.16,broken clouds
115,Kruisfontein,ZA,-34.0,24.73,60.01,72,12,4.0,few clouds
116,High Level,CA,58.52,-117.14,8.6,100,75,4.7,broken clouds
117,Seoul,KR,37.57,126.98,46.4,49,90,2.82,overcast clouds
118,Mahebourg,MU,-20.41,57.7,75.2,69,40,11.41,scattered clouds
119,Sidi Ali,DZ,36.1,0.42,65.88,74,10,7.96,clear sky
120,Chegdomyn,RU,51.12,133.02,7.23,90,31,2.04,scattered clouds
121,Nouadhibou,MR,20.93,-17.03,86.0,40,0,8.05,clear sky
122,Pangnirtung,CA,66.15,-65.71,15.8,61,75,3.51,broken clouds
123,Bilibino,RU,68.05,166.44,-2.43,90,96,0.87,overcast clouds
124,Saldanha,ZA,-33.01,17.94,64.4,42,0,18.34,clear sky
125,Atar,MR,20.52,-13.05,98.13,9,0,11.1,clear sky
126,Zhigalovo,RU,54.81,105.16,28.94,95,51,1.52,broken clouds
127,Itajuba,BR,-22.43,-45.45,89.01,46,1,1.01,clear sky
128,Sao Francisco,BR,-15.95,-44.86,91.02,40,99,5.57,overcast clouds
129,Kolosovka,RU,56.47,73.61,32.38,95,84,15.05,broken clouds
130,Souillac,MU,-20.52,57.52,75.2,69,40,11.41,scattered clouds
131,Cockburn Town,TC,21.46,-71.14,81.81,82,100,20.58,light rain
132,Alugan,PH,12.22,125.48,79.84,87,100,3.94,moderate rain
133,Nome,US,64.5,-165.41,28.4,79,90,17.22,light snow
134,Omsukchan,RU,62.53,155.8,-6.57,87,100,4.9,overcast clouds
135,Ambovombe,MG,-25.17,46.08,81.57,49,0,12.68,clear sky
136,Tuy Hoa,VN,13.08,109.3,74.79,93,100,22.86,overcast clouds
137,Puerto Ayora,EC,-0.74,-90.35,71.01,83,100,4.0,overcast clouds
138,Norman Wells,CA,65.28,-126.83,21.2,85,75,5.82,broken clouds
139,Malakal,SS,9.53,31.66,88.05,25,26,4.52,scattered clouds
140,Mankera,PK,31.39,71.44,70.63,22,96,3.02,overcast clouds
141,Arlit,NE,18.74,7.39,84.2,16,0,5.77,clear sky
142,Bireun,ID,5.2,96.7,79.63,80,100,3.06,overcast clouds
143,Janakpur,NP,26.72,85.91,70.81,45,0,3.74,clear sky
144,Bosaso,SO,11.28,49.18,82.4,83,40,12.75,scattered clouds
145,Woodstock,CA,43.13,-80.75,63.0,71,62,8.37,broken clouds
146,Hirara,JP,24.8,125.28,72.88,76,100,26.57,overcast clouds
147,Tevaitoa,PF,-16.78,-151.5,78.96,80,100,17.18,light rain
148,Altay,CN,47.87,88.12,34.2,83,64,3.6,broken clouds
149,Fethiye,TR,36.62,29.12,75.2,53,20,9.17,few clouds
150,Drexel Heights,US,32.14,-111.03,46.4,81,90,8.05,overcast clouds
