City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
419,Chiriqui Grande,PA,72.0,scattered clouds,8.95,-82.12,Hospedaje Cervera
423,Thap Than,TH,73.15,scattered clouds,15.46,99.89,Am
432,Dan Khun Thot,TH,73.0,scattered clouds,15.21,101.77,Sai Thong Hotel
436,Alofi,NU,71.6,scattered clouds,-19.06,-169.92,Taloa Heights
445,Netivot,IL,75.0,clear sky,31.42,34.59,Catering Gato - kosher catering Dairy
446,Alegrete,BR,71.24,overcast clouds,-29.78,-55.79,Hotel Alegrete
448,Santa Maria,BR,72.07,overcast clouds,-29.68,-53.81,Hotel Morotin
455,Ponta Delgada,PT,66.2,few clouds,37.73,-25.67,Vila Nova Hotel
458,Pacocha,PE,66.2,overcast clouds,-17.58,-71.33,terrenos en venta
462,Elizabethton,US,68.0,scattered clouds,36.35,-82.21,East Tennessee Sport Complex & RV Park
466,Ardea,IT,66.2,clear sky,41.61,12.51,"Hotel Ristorante ""Al Magno Gaudio"""
468,Hualmay,PE,68.49,overcast clouds,-11.1,-77.61,Hotel Restaurant Turístico Casablanca
469,Canico,PT,68.0,scattered clouds,32.63,-16.85,Quinta Splendida Wellness & Botanical Garden
473,Nongpoh,IN,73.4,mist,25.9,91.88,PWD IB
476,Amberley,US,68.0,clear sky,39.2,-84.43,"Motel 6 Cincinnati, OH - Central - Norwood"
477,Mizdah,LY,70.38,clear sky,31.45,12.98,فندق بنيه تحتيه
480,Sri Aman,MY,73.4,heavy intensity rain,1.24,111.46,Seri Simanggang Hotel
492,Karpathos,GR,71.6,scattered clouds,35.51,27.21,Alex
498,Moranbah,AU,65.84,clear sky,-22.0,148.05,Direct Hotels - Monterey Moranbah
499,Treinta Y Tres,UY,69.6,overcast clouds,-33.23,-54.38,Jardines Apart-Hotel
500,Marshall,US,71.01,broken clouds,34.38,-86.33,Lake Guntersville Bed and Breakfast
501,Sungaipenuh,ID,65.93,overcast clouds,-2.08,101.38,Hotel Jaya Wisata 2
502,Kirkuk,IQ,74.71,light rain,35.47,44.39,فندق التأميم
504,Tulsa,US,68.0,overcast clouds,36.1,-95.9,Hilton Garden Inn Tulsa Midtown
509,Yeppoon,AU,68.0,few clouds,-23.13,150.73,Villa Mar Colina
512,Singaparna,ID,71.91,broken clouds,-7.35,108.11,"H. maman Sukirman ""Koran"""
515,Centerville,US,66.99,clear sky,39.63,-84.16,"Country Inn & Suites by Radisson, Dayton South, OH"
520,Srinivaspur,IN,69.8,few clouds,13.33,78.22,Anjaneya Temple
525,Marsala,IT,69.8,clear sky,37.8,12.44,Villa Favorita Hotel e Resort
526,Mizan Teferi,ET,66.47,light rain,6.98,35.58,Hotel Salayish | ሆቴል ሳላይሽ
528,Acari,PE,74.89,broken clouds,-15.43,-74.62,Hospedaje Ximens
534,Roswell,US,69.01,overcast clouds,34.02,-84.36,La Quinta Inn & Suites by Wyndham Atlanta Roswell
541,Karratha,AU,73.22,clear sky,-20.74,116.85,ibis Styles Karratha
542,Marsaxlokk,MT,69.01,clear sky,35.84,14.54,Water's Edge
545,Ajdabiya,LY,70.52,clear sky,30.76,20.23,الحاج سليمان الشترة
551,Puri,IN,73.4,haze,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
559,Tabuk,PH,73.51,overcast clouds,17.42,121.44,Grand Zion Garden Resort Hotel
566,Hamilton,US,66.99,few clouds,39.18,-84.53,Six Acres Bed & Breakfast
585,Calama,CL,71.6,clear sky,-22.47,-68.93,Park Hotel Calama
587,Jalu,LY,72.0,few clouds,29.03,21.55,Jalu Hotel
588,Mackay,AU,73.4,scattered clouds,-21.15,149.2,International Lodge Motel
591,Surt,LY,69.85,scattered clouds,31.21,16.59,City Hotel
599,Lahaina,US,73.0,clear sky,20.88,-156.68,Lahaina Shores Beach Resort
603,Gulu,UG,70.75,light rain,2.77,32.3,ACHOLI INN
620,General Roca,AR,71.6,scattered clouds,-39.03,-67.58,Hotel El Recreo
634,Havelock,US,73.0,broken clouds,34.88,-76.9,Sherwood Motel
644,Cascais,PT,68.0,few clouds,38.7,-9.42,Hotel Vila Galé Cascais
646,Mehran,IR,66.2,overcast clouds,33.12,46.16,بوتیک زنانه بهار
648,Nagar Karnul,IN,66.18,clear sky,16.48,78.32,Sanjeevani Hills
650,Quang Ngai,VN,71.8,moderate rain,15.12,108.8,Central Hotel
651,Bowen,AU,69.8,broken clouds,-20.02,148.23,Castle Motor Lodge Motel
662,Grand Gaube,MU,75.0,clear sky,-20.01,57.66,Veranda Paul et Virginie Hotel & Spa
666,Bakani,IN,71.35,clear sky,24.28,76.23,Vishal Gupta
668,Arrecife,ES,71.6,scattered clouds,28.96,-13.55,Hotel Lancelot
671,Harda,IN,67.78,clear sky,22.33,77.1,OYO 67581 Samaroh Parisar
676,Peniche,PT,68.0,clear sky,39.36,-9.38,Hotel Star inn Peniche
684,Taitung,TW,71.17,overcast clouds,22.76,121.14,Taitung Bali Suites Hotel
688,Sonamukhi,IN,72.21,clear sky,23.3,87.42,Shubham lodge
690,Gamboma,CG,73.09,moderate rain,-1.88,15.86,Residence N'Keni
695,Naze,JP,68.0,broken clouds,28.37,129.48,奄美ポートタワーホテル
698,Rocha,UY,71.04,overcast clouds,-34.48,-54.33,Beleza Pura B&B
702,Fenoarivo Atsinanana,MG,74.21,overcast clouds,-17.37,49.42,L'Oasis Lodge
